wall_time_ns,elapsed_s,gpu_index,physical_gpu_index,gpu_uuid,gpu_name,utilization_gpu_pct,utilization_mem_pct,memory_used_mb,memory_free_mb,memory_total_mb,memory_used_pct,power_w
1788255201280290942,5.734792,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255201280290942,5.734792,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,35,20,55617.00,26303.00,81920.00,67.8918,167.28
1788255201489340948,5.943841,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255201489340948,5.943841,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,34,20,55617.00,26303.00,81920.00,67.8918,172.67
1788255201704039386,6.158540,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255201704039386,6.158540,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,33,19,55617.00,26303.00,81920.00,67.8918,178.78
1788255201911303494,6.365804,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255201911303494,6.365804,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,33,19,55617.00,26303.00,81920.00,67.8918,150.17
1788255202121051072,6.575551,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255202121051072,6.575551,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,30,18,55617.00,26303.00,81920.00,67.8918,160.39
1788255202329285807,6.783786,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255202329285807,6.783786,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,32,19,55617.00,26303.00,81920.00,67.8918,143.28
1788255202538625648,6.993126,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255202538625648,6.993126,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,32,17,55617.00,26303.00,81920.00,67.8918,112.69
1788255202760296646,7.214797,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255202760296646,7.214797,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,32,17,55617.00,26303.00,81920.00,67.8918,127.71
1788255202966949892,7.421450,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
